,product,uf,volume,year_month,unit,created_at
156,OLEO DIESEL S-10 ,SANTA CATARINA,612054.306,2014-01-28,m3,2022-02-22 01:21:55.716025
157,OLEO DIESEL S-10 ,RIO GRANDE DO SUL,60585.175,2014-01-28,m3,2022-02-22 01:21:55.716025
158,OLEO DIESEL S-10 ,MATO GROSSO DO SUL,28238.2,2014-01-28,m3,2022-02-22 01:21:55.716025
159,OLEO DIESEL S-10 ,MATO GROSSO,40309.371,2014-01-28,m3,2022-02-22 01:21:55.716025
160,OLEO DIESEL S-10 ,GOIAS,50630.481,2014-01-28,m3,2022-02-22 01:21:55.716025
161,OLEO DIESEL S-10 ,DISTRITO FEDERAL,15254.853,2014-01-28,m3,2022-02-22 01:21:55.716025
162,OLEO DIESEL S-500 ,RONDONIA,59527.8,2014-01-28,m3,2022-02-22 01:21:55.716025
163,OLEO DIESEL S-500 ,ACRE,11907.08,2014-01-28,m3,2022-02-22 01:21:55.716025
164,OLEO DIESEL S-500 ,AMAZONAS,23598.5,2014-01-28,m3,2022-02-22 01:21:55.716025
165,OLEO DIESEL S-500 ,RORAIMA,8780.2,2014-01-28,m3,2022-02-22 01:21:55.716025
166,OLEO DIESEL S-500 ,PARA,109966.713,2014-01-28,m3,2022-02-22 01:21:55.716025
167,OLEO DIESEL S-500 ,AMAPA,32269.1,2014-01-28,m3,2022-02-22 01:21:55.716025
168,OLEO DIESEL S-500 ,TOCANTINS,49772.45,2014-01-28,m3,2022-02-22 01:21:55.716025
169,OLEO DIESEL S-500 ,MARANHAO,968961.419,2014-01-28,m3,2022-02-22 01:21:55.716025
170,OLEO DIESEL S-500 ,PIAUI,36010.8,2014-01-28,m3,2022-02-22 01:21:55.716025
171,OLEO DIESEL S-500 ,CEARA,42096.5,2014-01-28,m3,2022-02-22 01:21:55.716025
172,OLEO DIESEL S-500 ,RIO GRANDE DO NORTE,54424.05,2014-01-28,m3,2022-02-22 01:21:55.716025
173,OLEO DIESEL S-500 ,PARAIBA,32443.66,2014-01-28,m3,2022-02-22 01:21:55.716025
174,OLEO DIESEL S-500 ,PERNAMBUCO,88770.5,2014-01-28,m3,2022-02-22 01:21:55.716025
175,OLEO DIESEL S-500 ,ALAGOAS,21169.4,2014-01-28,m3,2022-02-22 01:21:55.716025
176,OLEO DIESEL S-500 ,SERGIPE,18352.5,2014-01-28,m3,2022-02-22 01:21:55.716025
177,OLEO DIESEL S-500 ,BAHIA,230482.933,2014-01-28,m3,2022-02-22 01:21:55.716025
178,OLEO DIESEL S-500 ,MINAS GERAIS,499814.073,2014-01-28,m3,2022-02-22 01:21:55.716025
179,OLEO DIESEL S-500 ,ESPIRITO SANTO,76565.994,2014-01-28,m3,2022-02-22 01:21:55.716025
180,OLEO DIESEL S-500 ,RIO DE JANEIRO,118600.961,2014-01-28,m3,2022-02-22 01:21:55.716025
181,OLEO DIESEL S-500 ,SAO PAULO,648227.785,2014-01-28,m3,2022-02-22 01:21:55.716025
182,OLEO DIESEL S-500 ,PARANA,4120736.249,2014-01-28,m3,2022-02-22 01:21:55.716025
183,OLEO DIESEL S-500 ,SANTA CATARINA,138683.52,2014-01-28,m3,2022-02-22 01:21:55.716025
184,OLEO DIESEL S-500 ,RIO GRANDE DO SUL,249793.122,2014-01-28,m3,2022-02-22 01:21:55.716025
185,OLEO DIESEL S-500 ,MATO GROSSO DO SUL,108645.1,2014-01-28,m3,2022-02-22 01:21:55.716025
186,OLEO DIESEL S-500 ,MATO GROSSO,205202.443,2014-01-28,m3,2022-02-22 01:21:55.716025
187,OLEO DIESEL S-500 ,GOIAS,245885.068,2014-01-28,m3,2022-02-22 01:21:55.716025
188,OLEO DIESEL S-500 ,DISTRITO FEDERAL,23053.277,2014-01-28,m3,2022-02-22 01:21:55.716025
189,OLEO DIESEL S-1800 ,RONDONIA,0.0,2014-01-28,m3,2022-02-22 01:21:55.716025
190,OLEO DIESEL S-1800 ,ACRE,0.0,2014-01-28,m3,2022-02-22 01:21:55.716025
191,OLEO DIESEL S-1800 ,AMAZONAS,64226.892,2014-01-28,m3,2022-02-22 01:21:55.716025
192,OLEO DIESEL S-1800 ,RORAIMA,0.0,2014-01-28,m3,2022-02-22 01:21:55.716025
193,OLEO DIESEL S-1800 ,PARA,5560.815,2014-01-28,m3,2022-02-22 01:21:55.716025
194,OLEO DIESEL S-1800 ,AMAPA,0.0,2014-01-28,m3,2022-02-22 01:21:55.716025
195,OLEO DIESEL S-1800 ,TOCANTINS,20.0,2014-01-28,m3,2022-02-22 01:21:55.716025
196,OLEO DIESEL S-1800 ,MARANHAO,0.0,2014-01-28,m3,2022-02-22 01:21:55.716025
197,OLEO DIESEL S-1800 ,PIAUI,0.0,2014-01-28,m3,2022-02-22 01:21:55.716025
198,OLEO DIESEL S-1800 ,CEARA,0.0,2014-01-28,m3,2022-02-22 01:21:55.716025
199,OLEO DIESEL S-1800 ,RIO GRANDE DO NORTE,0.0,2014-01-28,m3,2022-02-22 01:21:55.716025
200,OLEO DIESEL S-1800 ,PARAIBA,0.0,2014-01-28,m3,2022-02-22 01:21:55.716025
201,OLEO DIESEL S-1800 ,PERNAMBUCO,0.0,2014-01-28,m3,2022-02-22 01:21:55.716025
202,OLEO DIESEL S-1800 ,ALAGOAS,0.0,2014-01-28,m3,2022-02-22 01:21:55.716025
203,OLEO DIESEL S-1800 ,SERGIPE,0.0,2014-01-28,m3,2022-02-22 01:21:55.716025
204,OLEO DIESEL S-1800 ,BAHIA,0.0,2014-01-28,m3,2022-02-22 01:21:55.716025
205,OLEO DIESEL S-1800 ,MINAS GERAIS,2658.18,2014-01-28,m3,2022-02-22 01:21:55.716025
206,OLEO DIESEL S-1800 ,ESPIRITO SANTO,0.0,2014-01-28,m3,2022-02-22 01:21:55.716025
207,OLEO DIESEL S-1800 ,RIO DE JANEIRO,931.017,2014-01-28,m3,2022-02-22 01:21:55.716025
208,OLEO DIESEL S-1800 ,SAO PAULO,217410.257,2014-01-28,m3,2022-02-22 01:21:55.716025
209,OLEO DIESEL S-1800 ,PARANA,0.0,2014-01-28,m3,2022-02-22 01:21:55.716025
210,OLEO DIESEL S-1800 ,SANTA CATARINA,0.0,2014-01-28,m3,2022-02-22 01:21:55.716025
211,OLEO DIESEL S-1800 ,RIO GRANDE DO SUL,0.0,2014-01-28,m3,2022-02-22 01:21:55.716025
212,OLEO DIESEL S-1800 ,MATO GROSSO DO SUL,0.0,2014-01-28,m3,2022-02-22 01:21:55.716025
213,OLEO DIESEL S-1800 ,MATO GROSSO,1155.24,2014-01-28,m3,2022-02-22 01:21:55.716025
214,OLEO DIESEL S-1800 ,GOIAS,673.95,2014-01-28,m3,2022-02-22 01:21:55.716025
215,OLEO DIESEL S-1800 ,DISTRITO FEDERAL,0.0,2014-01-28,m3,2022-02-22 01:21:55.716025
216,OLEO DIESEL MARITIMO ,RONDONIA,842.4,2014-01-28,m3,2022-02-22 01:21:55.716025
217,OLEO DIESEL MARITIMO ,ACRE,55.0,2014-01-28,m3,2022-02-22 01:21:55.716025
218,OLEO DIESEL MARITIMO ,AMAZONAS,10470.421,2014-01-28,m3,2022-02-22 01:21:55.716025
219,OLEO DIESEL MARITIMO ,RORAIMA,0.0,2014-01-28,m3,2022-02-22 01:21:55.716025
220,OLEO DIESEL MARITIMO ,PARA,6713.9,2014-01-28,m3,2022-02-22 01:21:55.716025
221,OLEO DIESEL MARITIMO ,AMAPA,1754.0,2014-01-28,m3,2022-02-22 01:21:55.716025
222,OLEO DIESEL MARITIMO ,TOCANTINS,0.0,2014-01-28,m3,2022-02-22 01:21:55.716025
223,OLEO DIESEL MARITIMO ,MARANHAO,119.0,2014-01-28,m3,2022-02-22 01:21:55.716025
224,OLEO DIESEL MARITIMO ,PIAUI,255.0,2014-01-28,m3,2022-02-22 01:21:55.716025
225,OLEO DIESEL MARITIMO ,CEARA,895.0,2014-01-28,m3,2022-02-22 01:21:55.716025
226,OLEO DIESEL MARITIMO ,RIO GRANDE DO NORTE,530.0,2014-01-28,m3,2022-02-22 01:21:55.716025
227,OLEO DIESEL MARITIMO ,PARAIBA,78.0,2014-01-28,m3,2022-02-22 01:21:55.716025
228,OLEO DIESEL MARITIMO ,PERNAMBUCO,627.0,2014-01-28,m3,2022-02-22 01:21:55.716025
229,OLEO DIESEL MARITIMO ,ALAGOAS,35.0,2014-01-28,m3,2022-02-22 01:21:55.716025
230,OLEO DIESEL MARITIMO ,SERGIPE,125.0,2014-01-28,m3,2022-02-22 01:21:55.716025
231,OLEO DIESEL MARITIMO ,BAHIA,1471.0,2014-01-28,m3,2022-02-22 01:21:55.716025
232,OLEO DIESEL MARITIMO ,MINAS GERAIS,0.0,2014-01-28,m3,2022-02-22 01:21:55.716025
233,OLEO DIESEL MARITIMO ,ESPIRITO SANTO,4592.052,2014-01-28,m3,2022-02-22 01:21:55.716025
234,OLEO DIESEL MARITIMO ,RIO DE JANEIRO,331446.113,2014-01-28,m3,2022-02-22 01:21:55.716025
235,OLEO DIESEL MARITIMO ,SAO PAULO,3574.0,2014-01-28,m3,2022-02-22 01:21:55.716025
236,OLEO DIESEL MARITIMO ,PARANA,525.0,2014-01-28,m3,2022-02-22 01:21:55.716025
237,OLEO DIESEL MARITIMO ,SANTA CATARINA,5540.449,2014-01-28,m3,2022-02-22 01:21:55.716025
238,OLEO DIESEL MARITIMO ,RIO GRANDE DO SUL,1640.0,2014-01-28,m3,2022-02-22 01:21:55.716025
239,OLEO DIESEL MARITIMO ,MATO GROSSO DO SUL,180.0,2014-01-28,m3,2022-02-22 01:21:55.716025
240,OLEO DIESEL MARITIMO ,MATO GROSSO,0.0,2014-01-28,m3,2022-02-22 01:21:55.716025
241,OLEO DIESEL MARITIMO ,GOIAS,0.0,2014-01-28,m3,2022-02-22 01:21:55.716025
242,OLEO DIESEL MARITIMO ,DISTRITO FEDERAL,0.0,2014-01-28,m3,2022-02-22 01:21:55.716025
